"Tipologia";"Denominazione";"longitudine";"Indirizzo";"gid";"Latitudine";"Comune";
"Pubblici";"Bar Les Affiches";"12.4723041000";"Via di Santa Maria dell'Anima, snc";"88";"41.8986155000";"Roma";
"Privati federati";"Bar Ludovisi";"12.4887000000";"Via Ludovisi 30";"89";"41.9070000000";"Roma";
"Pubblici";"Bar Meeting";"12.5821720000";"Via Enzo Benedetto, 36";"90";"41.8321390000";"Roma";
"Pubblici";"BAR Nemi - Stazione FS";"12.8280000000";"Piazzale della Stazione";"91";"41.8256000000";"Zagarolo";
"Privati federati";"Bar onda lunga";"12.0569610000";"Via Etruria Meridionale 13";"92";"41.9775970000";"Cerveteri";
"Privati federati";"Bar Pasticceria Caffè Fleming";"12.4736660000";"Via Flaminia Vecchia 677";"93";"41.9465850000";"Roma";
"Privati federati";"Bar Ricci";"12.7983840000";"Via Tiburto 42";"94";"41.9569870000";"Tivoli";
"Pubblici";"Bar Rosati";"12.4614289000";"via Sabotino, 37";"95";"41.9165563000";"Roma";
"Pubblici";"Bar Rosati";"12.4762176000";"Piazza del Popolo, 4";"96";"41.9101282000";"Roma";
"Privati federati";"Bar The Scorpion";"12.2599900000";"Via Reginaldo Belloni";"97";"42.0905470000";"Anguillara Sabazia";
"Privati federati";"Bar Treccì";"12.6209000000";"Via  De Rinaldis 30";"98";"41.8434000000";"Roma";
"Pubblici";"Bar Vanni";"12.4644898000";"Via Col di Lana, 10";"99";"41.9172780000";"Roma";
"Privati federati";"Bar Village";"12.5164000000";"Via Cesare de Lollis, 22";"100";"41.9010000000";"Roma";
"Pubblici";"Bibliopoint Nomentano";"12.5429000000";"via della bufalotta 229";"101";"41.9521000000";"Roma";
"Pubblici";"Biblioteca";"12.5191970000";"Piazza Caccia";"102";"42.2344830000";"Sant'Oreste";
"Pubblici";"Biblioteca Borghesiana";"12.6709042038";"Largo Monreale, snc";"103";"41.8608393873";"Roma";
"Pubblici";"Biblioteca casa del parco";"12.4243619000";"Via della Pineta Sacchetti, 78";"104";"41.9104037000";"Roma";
"Pubblici";"Biblioteca Casanatense";"12.4794300000";"Via Di Sant'Ignazio 52";"105";"41.8987820000";"Roma";
"Pubblici";"Biblioteca Comunale";"12.7580810000";"Via della Rocca";"106";"41.7879840000";"Rocca Priora";
"Pubblici";"Biblioteca Comunale";"12.6003600000";"Via 4 Novembre";"107";"41.8018830000";"Ciampino";
"Pubblici";"Biblioteca Comunale";"12.6621320000";"Viale Risorgimento, 5";"108";"41.7260420000";"Albano Laziale";
"Pubblici";"Biblioteca Comunale";"12.7565140000";"Via Colle S. Andrea";"109";"41.8266650000";"Colonna";
"Pubblici";"Biblioteca Comunale";"12.0737270000";"Via Caltagirone";"110";"41.9568650000";"Ladispoli";
"Pubblici";"Biblioteca Comunale";"12.5065090000";"Piazza Armando Diaz, 24";"111";"42.1441000000";"Morlupo";
"Pubblici";"Biblioteca comunale";"12.6690310000";"Viale Giovanni Dusmet 20";"112";"41.7955050000";"Grottaferrata";
"Pubblici";"Biblioteca Comunale";"12.9943930000";"Piazza Della Repubblica  4";"113";"42.0259550000";"Roviano";
"Pubblici";"Biblioteca Comunale";"13.0402530000";"Via Corte Vecchia, 27";"114";"41.6505000000";"Montelanico";
